date,Tweet count,Retweet count,Like count,Avg VADER Neg,Avg VADER Neu,Avg VADER Pos,Avg VADER Comp,Avg VADER Score,FinBert Pos count,FinBert Neu count,FinBert Neg count,FinBert proportion Pos,FinBert proportion Neu,FinBert proportion Neg
1/1/2021,267,125,495,8.326,235.815,22.861,57.2243,207905.859,16,243,8,0.059925094,0.91011236,0.029962547
2/1/2021,501,715,5579,19.608,446.166,35.235,73.2517,949259.9465,30,461,10,0.05988024,0.920159681,0.01996008
3/1/2021,486,281,1454,16.857,427.194,41.953,101.3046,74312.0278,38,442,6,0.0781893,0.909465021,0.012345679
4/1/2021,365,154,1241,15.367,321.453,28.183,64.8278,382667.1671,23,326,16,0.063013699,0.893150685,0.043835616
5/1/2021,347,1032,2375,11.616,304.041,31.355,87.4927,1405274.599,20,323,4,0.057636888,0.930835735,0.011527378
6/1/2021,330,118,879,10.17,294.14,25.694,70.8259,692351.9773,11,312,7,0.033333333,0.945454545,0.021212121
7/1/2021,450,193,1491,12.233,401.695,36.068,106.9835,1176598.33,19,422,9,0.042222222,0.937777778,0.02
8/1/2021,450,354,1818,15.74,395.349,38.903,104.4287,4126899.388,30,410,10,0.066666667,0.911111111,0.022222222
9/1/2021,354,283,2008,11.458,314.368,28.171,77.378,596729.0618,12,333,9,0.033898305,0.940677966,0.025423729
10/1/2021,370,281,1483,12.927,329.44,27.628,61.9632,-1046753.271,16,342,12,0.043243243,0.924324324,0.032432432
11/1/2021,481,504,2906,22.35,422.383,36.268,59.4223,-4575777.882,25,432,24,0.051975052,0.898128898,0.04989605
12/1/2021,363,605,1297,13.143,321.551,28.309,62.8202,-3480745.227,15,341,7,0.041322314,0.939393939,0.019283747
13/1/2021,377,313,1295,14,335.583,27.416,62.751,385118.2965,20,350,7,0.053050398,0.928381963,0.018567639
14/1/2021,375,531,3571,13.857,332.528,28.607,65.669,234763.6678,24,343,8,0.064,0.914666667,0.021333333
15/1/2021,334,1090,2221,13.309,300.155,20.532,43.5687,768929.3392,13,311,10,0.038922156,0.931137725,0.02994012
